aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,reserve_fuel_calc_lb
CJ1,Tamarack,0,0,39000,0.62,0,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,,
CJ1,Tamarack,0,0,39000,0.62,364,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,,
CJ1,Tamarack,0,0,39000,0.62,728,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,,
CJ1,Tamarack,0,0,39000,0.62,1093,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,,
CJ1,Tamarack,0,0,39000,0.62,1457,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,,
CJ1,Tamarack,0,0,39000,0.62,1821,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,,
CJ1,Tamarack,0,10,39000,0.64,0,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,,
CJ1,Tamarack,0,10,39000,0.64,364,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,,
CJ1,Tamarack,0,10,39000,0.64,728,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,,
CJ1,Tamarack,0,10,39000,0.64,1093,100,600,False,error,run_simulation() got an unexpected keyword argument 'cruise_mach'. Did you mean 'cruise_alt'?,,,,,,
